cnssi-1253_high,800-53r5
AH,AC-1
AH,AT-2(4)
AH,AT-2(5)
AH,AT-2(6)
AH,AT-3(1)
AH,AT-3(2)
AH,AT-6
AH,AU-4(1)
AH,AU-9(6)
AH,AU-11(1)
AH,CA-7(3)
AH,CA-7(5)
AH,CA-7(6)
AH,CA-8(3)
AH,CP-8(5)
AH,CP-10(6)
AH,IR-4(3)
AH,IR-4(6)
AH,IR-4(7)
AH,IR-4(8)
AH,IR-4(10)
AH,IR-4(12)
AH,IR-4(13)
AH,IR-4(14)
AH,IR-6(2)
AH,IR-7(2)
AH,IR-9(3)
AH,MA-6(1)
AH,PE-13(4)
AH,PE-23
AH,PL-7
AH,PL-8(1)
AH,PL-8(2)
AH,RA-3(2)
AH,RA-3(3)
AH,RA-5(10)
AH,RA-10
AH,SA-3(1)
AH,SA-3(3)
AH,SA-8(1)
AH,SA-8(2)
AH,SA-8(3)
AH,SA-8(4)
AH,SA-8(5)
AH,SA-8(6)
AH,SA-8(7)
AH,SA-8(8)
AH,SA-8(9)
AH,SA-8(10)
AH,SA-8(11)
AH,SA-8(12)
AH,SA-8(13)
AH,SA-8(14)
AH,SA-8(15)
AH,SA-8(16)
AH,SA-8(17)
AH,SA-8(18)
AH,SA-8(19)
AH,SA-8(20)
AH,SA-8(21)
AH,SA-8(22)
AH,SA-8(23)
AH,SA-8(24)
AH,SA-8(25)
AH,SA-8(26)
AH,SA-8(27)
AH,SA-8(28)
AH,SA-8(29)
AH,SA-8(30)
AH,SA-8(31)
AH,SA-8(32)
AH,SA-9(3)
AH,SA-9(8)
AH,SA-11(1)
AH,SA-11(2)
AH,SC-5(1)
AH,SC-5(2)
AH,SC-5(3)
AH,SC-7(12)
AH,SC-38
AH,SC-41
AH,SC-47
AH,SI-4(1)
AH,SI-4(11)
AH,SI-4(15)
AH,SI-4(16)
AH,SI-4(19)
AH,SI-4(22)
AH,SI-4(23)
AH,SI-4(24)
AH,SI-4(25)
AH,SR-3(1)
AH,SR-3(2)
AH,SR-3(3)
AH,SR-4
AH,SR-5(1)
AH,SR-5(2)
AH,SR-6(1)
AH,SR-7
AH,AC-2(5)
AH,AC-2(11)
AH,AC-7
AH,AC-10
AH,AT-1
AH,AT-2
AH,AT-2(2)
AH,AT-2(3)
AH,AT-3
AH,AT-4
AH,AU-1
AH,AU-4
AH,AU-5
AH,AU-5(1)
AH,AU-5(2)
AH,AU-9
AH,AU-9(2)
AH,AU-11
AH,CA-1
AH,CA-2
AH,CA-2(1)
AH,CA-2(2)
AH,CA-5
AH,CA-6
AH,CA-7
AH,CA-7(1)
AH,CA-7(4)
AH,CA-8
AH,CA-8(1)
AH,CM-12
AH,CM-12(1)
AH,CP-1
AH,CP-2
AH,CP-2(1)
AH,CP-2(2)
AH,CP-2(3)
AH,CP-2(5)
AH,CP-2(8)
AH,CP-3
AH,CP-3(1)
AH,CP-4
AH,CP-4(1)
AH,CP-4(2)
AH,CP-6
AH,CP-6(1)
AH,CP-6(2)
AH,CP-6(3)
AH,CP-7
AH,CP-7(1)
AH,CP-7(2)
AH,CP-7(3)
AH,CP-7(4)
AH,CP-8
AH,CP-8(1)
AH,CP-8(2)
AH,CP-8(3)
AH,CP-8(4)
AH,CP-9
AH,CP-9(1)
AH,CP-9(2)
AH,CP-9(3)
AH,CP-9(5)
AH,CP-9(8)
AH,CP-10
AH,CP-10(2)
AH,CP-10(4)
AH,IR-1
AH,IR-2
AH,IR-2(1)
AH,IR-2(2)
AH,IR-3
AH,IR-3(2)
AH,IR-4
AH,IR-4(1)
AH,IR-4(4)
AH,IR-4(11)
AH,IR-5
AH,IR-5(1)
AH,IR-6
AH,IR-6(1)
AH,IR-6(3)
AH,IR-7
AH,IR-7(1)
AH,IR-8
AH,MA-1
AH,MA-2
AH,MA-2(2)
AH,MA-5
AH,MA-5(1)
AH,MA-6
AH,PE-1
AH,PE-2
AH,PE-3
AH,PE-6
AH,PE-6(1)
AH,PE-6(4)
AH,PE-8
AH,PE-8(1)
AH,PE-9
AH,PE-10
AH,PE-11
AH,PE-11(1)
AH,PE-12
AH,PE-13
AH,PE-13(1)
AH,PE-13(2)
AH,PE-14
AH,PE-15
AH,PE-15(1)
AH,PE-16
AH,PE-17
AH,PE-18
AH,PL-1
AH,PL-2
AH,PL-4
AH,PL-8
AH,PL-10
AH,PL-11
AH,PS-1
AH,PS-2
AH,PS-4
AH,PS-4(2)
AH,PS-5
AH,PS-8
AH,PS-9
AH,RA-1
AH,RA-2
AH,RA-3
AH,RA-3(1)
AH,RA-5
AH,RA-5(2)
AH,RA-5(4)
AH,RA-5(5)
AH,RA-5(11)
AH,RA-7
AH,RA-9
AH,SA-1
AH,SA-2
AH,SA-3
AH,SA-4
AH,SA-4(1)
AH,SA-4(2)
AH,SA-4(9)
AH,SA-5
AH,SA-8
AH,SA-9
AH,SA-9(2)
AH,SA-11
AH,SA-15
AH,SA-15(3)
AH,SA-16
AH,SA-17
AH,SA-21
AH,SA-22
AH,SC-1
AH,SC-5
AH,SC-7(18)
AH,SC-12(1)
AH,SC-22
AH,SI-1
AH,SI-4
AH,SI-4(2)
AH,SI-4(4)
AH,SI-4(5)
AH,SI-4(10)
AH,SI-4(12)
AH,SI-4(14)
AH,SI-4(20)
AH,SI-8
AH,SI-8(2)
AH,SR-1
AH,SR-2
AH,SR-2(1)
AH,SR-3
AH,SR-5
AH,SR-6
AH,SR-8
AH,SR-9
AH,SR-9(1)
AH,SR-10
AH,SR-11
AH,SR-11(1)
AH,SR-11(2)
AH,SR-12
,Table D-2: Awareness and Training (AT) Family
,AT-2(1)
,AT-3(3)
,AT-3(4)
,AT-3(5)
,AT-5
,Table D-3: Audit and Accountability (AU) Family
,AU-2
,AU-2(1)
,AU-2(2)
,AU-2(3)
,AU-2(4)
,AU-3
,AU-3(1)
,AU-3(2)
,AU-3(3)
,AU-5(3)
,AU-5(4)
,AU-5(5)
,AU-6
,AU-6(1)
,AU-6(2)
,AU-6(3)
,AU-6(4)
,AU-6(5)
,AU-6(6)
,AU-6(7)
,AU-6(8)
,AU-6(9)
,AU-6(10)
,AU-7
,AU-7(1)
,AU-7(2)
,AU-8
,AU-8(1)
,AU-8(2)
,AU-9(1)
,AU-9(3)
,AU-9(4)
