cnssi-1253_high,800-53r5
CH,AC-1
--,IA-12(5)
CH,AC-2
CH,AC-2(1)
CH,AC-2(2)
CH,AC-2(3)
CH,AC-2(4)
CH,AC-2(5)
CH,AC-2(7)
CH,AC-2(9)
CH,AC-2(11)
CH,AC-2(12)
CH,AC-2(13)
CH,AC-3
CH,AC-3(4)
CH,AC-4
CH,AC-4(4)
CH,AC-5
CH,AC-6
CH,AC-6(1)
CH,AC-6(2)
CH,AC-6(3)
CH,AC-6(5)
CH,AC-6(7)
CH,AC-6(8)
CH,AC-6(9)
CH,AC-6(10)
CH,AC-7
CH,AC-8
CH,AC-10
CH,AC-11
CH,AC-11(1)
CH,AC-12
CH,AC-12(1)
CH,AC-12(2)
CH,AC-14
CH,AC-16
CH,AC-16(6)
CH,AC-16(7)
CH,AC-17
CH,AC-17(1)
CH,AC-17(2)
CH,AC-17(3)
CH,AC-17(4)
CH,AC-17(6)
CH,AC-17(9)
CH,AC-17(10)
CH,AC-18
CH,AC-18(1)
CH,AC-18(3)
CH,AC-18(4)
CH,AC-18(5)
CH,AC-19
CH,AC-19(5)
CH,AC-20
CH,AC-20(1)
CH,AC-20(2)
CH,AC-20(3)
CH,AC-21
CH,AC-22
CH,AC-23
CH,AT-1
CH,AT-2
CH,AT-2(2)
CH,AT-2(3)
CH,AT-2(4)
CH,AT-2(5)
CH,AT-2(6)
CH,AT-3
CH,AT-3(1)
CH,AT-3(2)
CH,AT-4
CH,AT-6
CH,AU-1
CH,AU-2
CH,AU-3
CH,AU-3(1)
CH,AU-6
CH,AU-6(1)
CH,AU-6(3)
CH,AU-6(4)
CH,AU-6(5)
CH,AU-6(6)
CH,AU-7
CH,AU-7(1)
CH,AU-9
CH,AU-9(2)
CH,AU-12
CH,AU-12(3)
CH,AU-14
CH,AU-14(1)
CH,AU-14(3)
CH,CA-1
CH,CA-2
CH,CA-2(1)
CH,CA-2(2)
CH,CA-3
CH,CA-3(6)
CH,CA-5
CH,CA-6
CH,CA-7
CH,CA-7(1)
CH,CA-7(3)
CH,CA-7(4)
CH,CA-7(5)
CH,CA-7(6)
CH,CA-8
CH,CA-8(1)
CH,CA-8(3)
CH,CA-9
CH,CM-1
CH,CM-7
CH,CM-7(1)
CH,CM-7(2)
CH,CM-7(3)
CH,CM-7(5)
CH,CM-8(4)
CH,CM-11
CH,CM-11(2)
CH,CM-12
CH,CM-12(1)
CH,CP-1
CH,CP-9
CH,CP-9(8)
CH,IA-1
CH,IA-2
CH,IA-2(1)
CH,IA-2(2)
CH,IA-2(5)
CH,IA-2(6)
CH,IA-2(8)
CH,IA-2(12)
CH,IA-3
CH,IA-3(1)
CH,IA-4
CH,IA-4(4)
CH,IA-4(9)
CH,IA-5
CH,IA-5(1)
CH,IA-5(2)
CH,IA-5(6)
CH,IA-5(7)
CH,IA-5(8)
CH,IA-5(13)
CH,IA-5(14)
CH,IA-5(16)
CH,IA-6
CH,IA-7
CH,IA-8
CH,IA-8(1)
CH,IA-9
CH,IA-10
CH,IA-11
CH,IA-12
CH,IA-12(1)
CH,IA-12(2)
CH,IA-12(3)
CH,IA-12(4)
CH,IR-1
CH,IR-2
CH,IR-2(1)
CH,IR-3
CH,IR-3(2)
CH,IR-4
CH,IR-4(1)
CH,IR-4(3)
CH,IR-4(4)
CH,IR-4(6)
CH,IR-4(7)
CH,IR-4(8)
CH,IR-4(10)
CH,IR-4(11)
CH,IR-4(12)
CH,IR-4(13)
CH,IR-4(14)
CH,IR-5
CH,IR-5(1)
CH,IR-6
CH,IR-6(1)
CH,IR-6(2)
CH,IR-6(3)
CH,IR-7
CH,IR-7(1)
CH,IR-7(2)
CH,IR-8
CH,IR-9
CH,IR-9(2)
CH,IR-9(4)
CH,MA-1
CH,MA-2
CH,MA-2(2)
CH,MA-3(3)
CH,MA-3(5)
CH,MA-3(6)
CH,MA-4(3)
CH,MA-4(6)
CH,MA-5
CH,MA-5(1)
CH,MP-1
CH,MP-2
CH,MP-3
CH,MP-4
CH,MP-5
CH,MP-6
CH,MP-6(1)
CH,MP-6(2)
CH,MP-6(3)
CH,MP-7
CH,PE-1
CH,PE-2
CH,PE-3
CH,PE-3(1)
CH,PE-4
CH,PE-5
CH,PE-6
CH,PE-6(1)
CH,PE-6(4)
CH,PE-8
CH,PE-8(1)
CH,PE-8(3)
CH,PE-16
CH,PE-17
CH,PE-22
CH,PL-1
CH,PL-2
CH,PL-4
CH,PL-4(1)
CH,PL-7
CH,PL-8
CH,PL-8(1)
CH,PL-8(2)
CH,PL-10
CH,PL-11
CH,PS-1
CH,PS-2
CH,PS-3
CH,PS-3(4)
CH,PS-4
CH,PS-4(1)
