cnssi-1253_moderate,800-53r5
AM,AC-1
AM,AC-2(5)
AM,AC-7
AM,AC-10
AM,AT-1
AM,AT-2
AM,AT-2(2)
AM,AT-2(3)
AM,AT-2(4)
AM,AT-2(5)
AM,AT-3
AM,AT-3(1)
AM,AT-3(2)
AM,AT-4
AM,AU-1
AM,AU-4
AM,AU-4(1)
AM,AU-5
AM,AU-5(1)
AM,AU-9
AM,AU-9(6)
AM,AU-11
AM,AU-11(1)
AM,CA-1
AM,CA-2
AM,CA-2(1)
AM,CA-5
AM,CA-6
AM,CA-7
AM,CA-7(1)
AM,CA-7(3)
AM,CA-7(4)
AM,CA-7(5)
AM,CA-7(6)
AM,CM-12
AM,CM-12(1)
AM,CP-1
AM,CP-2
AM,CP-2(1)
AM,CP-2(3)
AM,CP-2(8)
AM,CP-3
AM,CP-4
AM,CP-4(1)
AM,CP-6
AM,CP-6(1)
AM,CP-6(3)
AM,CP-7
AM,CP-7(1)
AM,CP-7(2)
AM,CP-7(3)
AM,CP-8
AM,CP-8(1)
AM,CP-8(2)
AM,CP-9
AM,CP-9(1)
AM,CP-9(5)
AM,CP-9(8)
AM,CP-10
AM,CP-10(2)
AM,IR-1
AM,IR-2
AM,IR-3
AM,IR-3(2)
AM,IR-4
AM,IR-4(1)
AM,IR-4(3)
AM,IR-4(4)
AM,IR-4(6)
AM,IR-4(7)
AM,IR-4(8)
AM,IR-4(12)
AM,IR-4(13)
AM,IR-4(14)
AM,IR-5
AM,IR-5(1)
AM,IR-6
AM,IR-6(1)
AM,IR-6(2)
AM,IR-6(3)
AM,IR-7
AM,IR-7(1)
AM,IR-7(2)
AM,IR-8
AM,IR-9(3)
AM,MA-1
AM,MA-2
AM,MA-5
AM,MA-6
AM,MA-6(1)
AM,PE-1
AM,PE-2
AM,PE-3
AM,PE-6
AM,PE-6(1)
AM,PE-8
AM,PE-9
AM,PE-10
AM,PE-11
AM,PE-12
AM,PE-13
AM,PE-13(1)
AM,PE-13(2)
AM,PE-14
AM,PE-15
AM,PE-16
