cnssi-1253_moderate,800-53r5
CM,AC-1
CM,AC-2
CM,AC-2(1)
CM,AC-2(2)
CM,AC-2(3)
CM,AC-2(4)
CM,AC-2(5)
CM,AC-2(7)
CM,AC-2(9)
CM,AC-2(12)
CM,AC-2(13)
CM,AC-3
CM,AC-3(4)
CM,AC-4
CM,AC-5
CM,AC-6
CM,AC-6(1)
CM,AC-6(2)
CM,AC-6(5)
CM,AC-6(7)
CM,AC-6(8)
CM,AC-6(9)
CM,AC-6(10)
CM,AC-7
CM,AC-8
CM,AC-10
CM,AC-11
CM,AC-11(1)
CM,AC-12
CM,AC-12(1)
CM,AC-12(2)
CM,AC-14
CM,AC-16
CM,AC-16(6)
CM,AC-16(7)
CM,AC-17
CM,AC-17(1)
CM,AC-17(2)
CM,AC-17(3)
CM,AC-17(4)
CM,AC-17(6)
CM,AC-17(9)
CM,AC-18
CM,AC-18(1)
CM,AC-18(3)
CM,AC-18(4)
CM,AC-19
CM,AC-19(5)
CM,AC-20
CM,AC-20(1)
CM,AC-20(2)
CM,AC-20(3)
CM,AC-21
CM,AC-22
CM,AC-23
CM,AT-1
CM,AT-2
CM,AT-2(2)
CM,AT-2(3)
CM,AT-2(4)
CM,AT-2(5)
CM,AT-3
CM,AT-3(1)
CM,AT-3(2)
CM,AT-4
CM,AU-1
CM,AU-2
CM,AU-3
CM,AU-3(1)
CM,AU-6
CM,AU-6(1)
CM,AU-6(3)
CM,AU-6(4)
CM,AU-7
CM,AU-7(1)
CM,AU-9
CM,AU-12
CM,AU-12(3)
CM,AU-14
CM,AU-14(1)
CM,AU-14(3)
CM,CA-1
CM,CA-2
CM,CA-2(1)
CM,CA-3
CM,CA-3(6)
CM,CA-5
CM,CA-6
CM,CA-7
CM,CA-7(1)
CM,CA-7(3)
CM,CA-7(4)
CM,CA-7(5)
CM,CA-7(6)
CM,CA-9
CM,CM-1
CM,CM-7
CM,CM-7(1)
CM,CM-7(2)
CM,CM-7(3)
CM,CM-7(5)
CM,CM-11
CM,CM-11(2)
CM,CM-12
CM,CM-12(1)
CM,CP-1
CM,CP-9
CM,CP-9(8)
CM,IA-1
CM,IA-2
CM,IA-2(1)
CM,IA-2(2)
CM,IA-2(5)
CM,IA-2(6)
CM,IA-2(8)
CM,IA-2(12)
CM,IA-3
CM,IA-3(1)
CM,IA-4
CM,IA-4(4)
CM,IA-4(9)
CM,IA-5
CM,IA-5(1)
CM,IA-5(2)
CM,IA-5(6)
CM,IA-5(7)
CM,IA-5(8)
CM,IA-5(13)
CM,IA-5(14)
CM,IA-5(16)
CM,IA-6
CM,IA-7
CM,IA-8
CM,IA-8(1)
CM,IA-9
CM,IA-11
CM,IA-12
CM,IA-12(1)
CM,IA-12(2)
CM,IA-12(3)
CM,IR-1
CM,IR-2
CM,IR-3
CM,IR-3(2)
CM,IR-4
CM,IR-4(1)
CM,IR-4(3)
CM,IR-4(4)
CM,IR-4(6)
CM,IR-4(7)
CM,IR-4(8)
CM,IR-4(12)
CM,IR-4(13)
CM,IR-4(14)
CM,IR-5
CM,IR-5(1)
CM,IR-6
CM,IR-6(1)
CM,IR-6(2)
CM,IR-6(3)
CM,IR-7
CM,IR-7(1)
CM,IR-7(2)
CM,IR-8
CM,IR-9
CM,IR-9(2)
CM,IR-9(4)
CM,MA-1
CM,MA-2
CM,MA-3(3)
CM,MA-3(5)
CM,MA-3(6)
CM,MA-4(3)
CM,MA-4(6)
CM,MA-5
CM,MP-1
CM,MP-2
CM,MP-3
CM,MP-4
CM,MP-5
CM,MP-6
CM,MP-7
CM,PE-1
CM,PE-2
CM,PE-3
CM,PE-3(1)
CM,PE-4
CM,PE-5
CM,PE-6
CM,PE-6(1)
CM,PE-8
CM,PE-8(3)
CM,PE-16
CM,PE-17
CM,PE-22
CM,PL-1
CM,PL-2
CM,PL-4
CM,PL-4(1)
CM,PL-7
CM,PL-8
CM,PL-8(1)
CM,PL-8(2)
CM,PL-10
CM,PL-11
CM,PS-1
CM,PS-2
CM,PS-3
CM,PS-3(4)
CM,PS-4
CM,PS-4(1)
CM,PS-5
CM,PS-6
CM,PS-6(3)
CM,PS-7
CM,PS-8
CM,PS-9
CM,RA-1
CM,RA-2
CM,RA-3
CM,RA-3(1)
CM,RA-3(2)
CM,RA-3(3)
CM,RA-5
CM,RA-5(2)
CM,RA-5(4)
CM,RA-5(5)
CM,RA-5(11)
CM,RA-7
CM,RA-9
CM,RA-10
CM,SA-1
CM,SA-2
CM,SA-3
CM,SA-3(1)
CM,SA-3(2)
CM,SA-4
CM,SA-4(1)
CM,SA-4(2)
CM,SA-4(7)
CM,SA-4(9)
CM,SA-4(10)
CM,SA-5
CM,SA-8
CM,SA-9
CM,SA-9(2)
CM,SA-9(3)
CM,SA-9(8)
CM,SA-11
CM,SA-11(1)
CM,SA-15
CM,SA-15(3)
CM,SA-21
CM,SA-22
CM,SC-1
CM,SC-2
CM,SC-4
CM,SC-7
CM,SC-7(3)
CM,SC-7(4)
CM,SC-7(5)
CM,SC-7(7)
CM,SC-7(8)
CM,SC-7(10)
CM,SC-7(12)
CM,SC-7(13)
CM,SC-7(14)
CM,SC-7(25)
CM,SC-7(28)
CM,SC-7(29)
CM,SC-8
CM,SC-8(1)
CM,SC-8(2)
CM,SC-10
CM,SC-12
CM,SC-13
CM,SC-15
CM,SC-16
CM,SC-17
CM,SC-22
CM,SC-28
CM,SC-28(1)
CM,SC-28(3)
CM,SC-38
CM,SC-39
CM,SI-1
CM,SI-4
CM,SI-4(1)
CM,SI-4(2)
CM,SI-4(4)
CM,SI-4(5)
CM,SI-4(10)
CM,SI-4(11)
CM,SI-4(12)
CM,SI-4(14)
CM,SI-4(15)
CM,SI-4(16)
CM,SI-4(19)
CM,SI-4(20)
CM,SI-4(22)
CM,SI-4(23)
CM,SI-4(24)
CM,SI-12
CM,SI-12(3)
CM,SR-1
CM,SR-2
CM,SR-2(1)
CM,SR-3
CM,SR-3(3)
CM,SR-4
CM,SR-5
CM,SR-5(2)
CM,SR-6
CM,SR-8
CM,SR-10
CM,SR-11
CM,SR-11(1)
CM,SR-11(2)
CM,SR-12
