cnssi-1253_moderate,800-53r5
IM,AC-1
IM,AC-2
IM,AC-2(1)
IM,AC-2(2)
IM,AC-2(3)
IM,AC-2(4)
IM,AC-2(5)
IM,AC-2(7)
IM,AC-2(9)
IM,AC-2(12)
IM,AC-2(13)
IM,AC-3
IM,AC-3(4)
IM,AC-4
IM,AC-5
IM,AC-6
IM,AC-6(1)
IM,AC-6(2)
IM,AC-6(5)
IM,AC-6(7)
IM,AC-6(8)
IM,AC-6(9)
IM,AC-6(10)
IM,AC-7
IM,AC-8
IM,AC-10
IM,AC-11
IM,AC-12
IM,AC-12(1)
IM,AC-12(2)
IM,AC-14
IM,AC-16
IM,AC-16(6)
IM,AC-16(7)
IM,AC-17
IM,AC-17(1)
IM,AC-17(2)
IM,AC-17(3)
IM,AC-17(4)
IM,AC-17(9)
IM,AC-18
IM,AC-18(1)
IM,AC-18(3)
IM,AC-18(4)
IM,AC-19
IM,AC-19(5)
IM,AC-20
IM,AC-20(1)
IM,AC-20(3)
IM,AT-1
IM,AT-2
IM,AT-2(2)
IM,AT-2(3)
IM,AT-2(4)
IM,AT-2(5)
IM,AT-3
IM,AT-3(1)
IM,AT-3(2)
IM,AT-4
IM,AU-1
IM,AU-2
IM,AU-3
IM,AU-3(1)
IM,AU-6
IM,AU-6(1)
IM,AU-6(3)
IM,AU-6(4)
IM,AU-7
IM,AU-7(1)
IM,AU-8
IM,AU-9
IM,AU-9(4)
IM,AU-9(6)
IM,AU-10
IM,AU-12
IM,AU-12(1)
IM,AU-12(3)
IM,AU-14
IM,AU-14(1)
IM,AU-16
IM,AU-16(1)
IM,AU-16(2)
IM,CA-1
IM,CA-2
IM,CA-2(1)
IM,CA-3
IM,CA-3(6)
IM,CA-5
IM,CA-6
IM,CA-7
IM,CA-7(1)
IM,CA-7(3)
IM,CA-7(4)
IM,CA-7(5)
IM,CA-7(6)
IM,CA-9
IM,CM-1
IM,CM-2
IM,CM-2(2)
IM,CM-2(3)
IM,CM-2(7)
IM,CM-3
IM,CM-3(2)
IM,CM-3(4)
IM,CM-3(6)
IM,CM-3(7)
IM,CM-4
IM,CM-4(1)
IM,CM-4(2)
IM,CM-5
IM,CM-5(1)
IM,CM-5(5)
IM,CM-5(6)
IM,CM-6
IM,CM-6(1)
IM,CM-7
IM,CM-7(1)
