cnssi-1253_low,800-53r5
CL,AC-1
CL,AC-2
CL,AC-2(4)
CL,AC-2(5)
CL,AC-2(7)
CL,AC-2(9)
CL,AC-2(12)
CL,AC-2(13)
CL,AC-3
CL,AC-3(4)
CL,AC-5
CL,AC-6
CL,AC-6(1)
CL,AC-6(2)
CL,AC-6(5)
CL,AC-6(7)
CL,AC-6(8)
CL,AC-6(9)
CL,AC-6(10)
CL,AC-7
CL,AC-8
CL,AC-11
CL,AC-11(1)
CL,AC-12
CL,AC-12(1)
CL,AC-12(2)
CL,AC-14
CL,AC-17
CL,AC-17(1)
CL,AC-17(2)
CL,AC-17(3)
CL,AC-17(4)
CL,AC-17(6)
CL,AC-17(9)
CL,AC-18
CL,AC-18(1)
CL,AC-18(3)
CL,AC-18(4)
CL,AC-19
CL,AC-19(5)
CL,AC-20
CL,AC-20(1)
CL,AC-20(2)
CL,AC-20(3)
CL,AC-22
CL,AT-1
CL,AT-2
CL,AT-2(2)
CL,AT-2(3)
CL,AT-2(4)
CL,AT-2(5)
CL,AT-3
CL,AT-3(1)
CL,AT-3(2)
CL,AT-4
CL,AU-1
CL,AU-2
CL,AU-3
CL,AU-3(1)
CL,AU-6
CL,AU-6(1)
CL,AU-6(3)
CL,AU-6(4)
CL,AU-9
CL,AU-12
CL,AU-12(3)
CL,AU-14
CL,AU-14(1)
CL,AU-14(3)
CL,CA-1
CL,CA-2
CL,CA-2(1)
CL,CA-3
CL,CA-5
CL,CA-6
CL,CA-7
CL,CA-7(3)
CL,CA-7(4)
CL,CA-7(5)
CL,CA-9
CL,CM-1
CL,CM-7
CL,CM-7(1)
CL,CM-7(2)
CL,CM-7(3)
CL,CM-7(5)
CL,CM-11
CL,CM-11(2)
CL,CP-1
CL,CP-9
CL,CP-9(8)
CL,IA-1
CL,IA-2
CL,IA-2(1)
CL,IA-2(2)
CL,IA-2(5)
CL,IA-2(6)
CL,IA-2(8)
CL,IA-2(12)
CL,IA-3
CL,IA-4
CL,IA-4(4)
CL,IA-4(9)
CL,IA-5
CL,IA-5(1)
CL,IA-5(7)
CL,IA-5(8)
CL,IA-5(13)
CL,IA-5(14)
CL,IA-5(16)
CL,IA-6
CL,IA-7
CL,IA-8
CL,IA-8(1)
CL,IA-9
CL,IA-11
CL,IA-12
CL,IA-12(1)
CL,IA-12(2)
CL,IA-12(3)
CL,IR-1
CL,IR-2
CL,IR-3
CL,IR-4
CL,IR-4(4)
CL,IR-4(6)
CL,IR-4(7)
CL,IR-4(8)
CL,IR-4(14)
CL,IR-5
CL,IR-6
CL,IR-6(2)
CL,IR-6(3)
CL,IR-7
CL,IR-7(2)
CL,IR-8
CL,IR-9
CL,IR-9(2)
CL,IR-9(4)
CL,MA-1
CL,MA-2
CL,MA-3(3)
CL,MA-3(5)
CL,MA-3(6)
CL,MA-4(3)
CL,MA-4(6)
CL,MA-5
CL,MP-1
CL,MP-2
CL,MP-3
CL,MP-4
CL,MP-5
CL,MP-6
CL,MP-7
CL,PE-1
CL,PE-2
CL,PE-3
CL,PE-3(1)
CL,PE-6
CL,PE-8
CL,PE-8(3)
CL,PE-16
CL,PE-22
CL,PL-1
CL,PL-2
CL,PL-4
CL,PL-4(1)
CL,PL-7
CL,PL-8
CL,PL-8(1)
CL,PL-8(2)
CL,PL-10
CL,PL-11
CL,PS-1
CL,PS-2
CL,PS-3
CL,PS-3(4)
CL,PS-4
CL,PS-4(1)
CL,PS-5
CL,PS-6
CL,PS-6(3)
CL,PS-7
CL,PS-8
CL,PS-9
CL,RA-1
CL,RA-2
CL,RA-3
CL,RA-3(1)
CL,RA-3(2)
CL,RA-3(3)
CL,RA-5
CL,RA-5(2)
CL,RA-5(4)
CL,RA-5(5)
CL,RA-5(11)
CL,RA-7
CL,RA-10
CL,SA-1
CL,SA-2
CL,SA-3
CL,SA-3(1)
CL,SA-3(2)
CL,SA-4
CL,SA-4(7)
CL,SA-4(9)
CL,SA-4(10)
CL,SA-5
CL,SA-8
CL,SA-9
CL,SA-9(2)
CL,SA-9(8)
CL,SA-15
CL,SA-21
CL,SA-22
CL,SC-1
CL,SC-4
CL,SC-7
CL,SC-7(3)
CL,SC-7(4)
CL,SC-7(5)
CL,SC-7(7)
CL,SC-7(8)
CL,SC-7(10)
CL,SC-7(12)
CL,SC-7(13)
CL,SC-7(14)
CL,SC-7(25)
CL,SC-7(28)
CL,SC-8
CL,SC-8(1)
CL,SC-10
CL,SC-12
CL,SC-13
CL,SC-15
CL,SC-17
CL,SC-22
CL,SC-28
CL,SC-28(1)
CL,SC-28(3)
CL,SC-38
CL,SC-39
CL,SI-1
CL,SI-4
CL,SI-4(1)
CL,SI-4(4)
CL,SI-4(5)
CL,SI-4(11)
CL,SI-4(12)
CL,SI-4(14)
CL,SI-4(15)
CL,SI-4(16)
CL,SI-4(19)
CL,SI-4(20)
CL,SI-4(22)
CL,SI-4(23)
CL,SI-4(24)
CL,SI-12
CL,SI-12(3)
CL,SR-1
CL,SR-2
CL,SR-2(1)
CL,SR-3
CL,SR-3(3)
CL,SR-4
CL,SR-5
CL,SR-6
CL,SR-8
CL,SR-10
CL,SR-11
CL,SR-11(1)
CL,SR-11(2)
CL,SR-12
